text,label,FOOD_usefulness,FOOD_score,LOCATION_usefulness,LOCATION_score,ATOMSPHERE_usefulness,ATOMSPHERE_score,SERVICE_usefulness,SERVICE_score,PRICE_usefulness,PRICE_score,MENU_usefulness,MENU_score,SPEED_usefulness,SPEED_score
"Who knew Applebee's was open until midnight? All the negatrons below me can suck it--Hammy thinks this place is the ultimate in hooking up if you play your cards right. And tonight your cards are whatever a royal flush times a full house times blackjack is, if you knowhatImean! Yeah! Let's share the sampler plate and a lukewarm mojito and dream about our dream vacation to an imaginary Caribbean island that only we can dream about!!! Nachos are zany! And potentially salty!!!!!!!!!!!!!!!",2,0.8359375,4.0625,2.4920155e-10,1.921875,0.009094238,4.875,6.548362e-10,3.5625,4.1154635e-11,3.65625,0.40625,3.15625,1.3038516e-06,4.75
Original shrimp pasta is totally awesome.  Lunch prices and service were excellent. Could be addictive.,2,1.0,5.03125,2.060574e-13,4.40625,1.1641532e-09,2.359375,1.0,5.0,1.0,5.0,0.9765625,4.96875,1.4624675e-09,2.921875
"Very spacious with great seating atmosphere.  The menu encompassed a wide selection of items with an all you can eat option (Most items available).  Only reason I rank with 4 stars is the service was rather slow.  Not sure if it was simply because it was a Sunday, but excellent overall.  Will definitely recommend.",2,2.0372681e-10,3.328125,1.6413537e-12,3.203125,1.0,5.0,1.0,2.984375,1.1709744e-11,3.40625,1.0,5.0,1.0,2.078125
"Too thick burgers at a Latin restaurant = half uncooked meal (even when you've asked for well done and send it back twice to be cooked even more). Would say stick to the Arroz con Pollo if you do not mind a mini breast of well seasoned chicken - the size of a four piece chicken nuggets on Wendy's value menu at 15 times the price...

Other than that, Mamá Amelia's Empanadas hit the spot",0,1.0,2.875,3.748113e-13,4.0625,4.0745363e-08,1.6171875,0.033935547,1.4609375,1.0,1.5,0.99609375,3.703125,9.5460564e-08,1.421875
"Best beignets in town. Not that I want to start a feud, but I preferred theirs to Café du Monde. The café au lait was delicious too. Overall, the atmosphere is more relaxed.",2,1.0,5.0,2.643219e-12,2.875,1.0,5.0,5.2935434e-13,4.03125,3.0375702e-13,4.46875,0.5078125,4.03125,7.1764816e-13,3.34375
"This place has great house made bagels but just because they may be awesome bagels doesn't give the staff the right to have serious attitude problems. It never fails EVERY TIME I go in this place !! Spread bagels are way to expensive for your staff to  treat people  this way. To top it off maybe they should learn how to take phone orders as well , people are on the go, nobody has time for screw- ups!!",0,0.94140625,4.84375,2.8954616e-13,4.34375,0.53515625,1.015625,1.0,1.0,0.9921875,3.875,0.040283203,2.3125,0.087402344,4.125
"Came for the Octoberfest and ended up at Reef. Ran into a waiter, Jeff Waters,  in the hallway and he sold us on come up for happy hour.  We were not disappointed. Great happy hour menu. Food was good but Jeff really made the experience great.  Really enjoyed our time here.  will come back.",2,1.0,3.15625,2.5102054e-10,2.078125,0.004333496,4.59375,1.0,5.0,2.012257e-11,3.40625,1.0,4.96875,2.386514e-09,2.984375
"I had a party of 11 on a Sunday evening scheduled at 6:15.  We did not have all party members by the assigned time, however we told the waitresses that we were going to order without them.(There were only 3 missing). We then waited until 6:45 for menus!  The service was extremely slow and the hostess (manager?)  was quite rude.  When our bill came there was a 20% tip automatically added.  Most restaurants charge 18% and our group would normally increase the  tip for good service. I feel that the waitresses were not trained properly because they seemed over-whelmed with our group.  I will NOT go to this restaurant again,nor will the other 10 in our party.  (Which translates to 22 patrons with our spouses included).  

I wish I  had checked this site prior to making the reservation.",0,4.03233e-13,4.40625,1.2256862e-13,4.375,0.0006866455,1.0390625,1.0,1.0,0.10986328,1.8671875,1.4901161e-05,1.015625,1.0,1.109375
"Wrong drink. Spilled drink. Womp, womp, womp.

Dined in on Black Friday with a few of my friends because I wanted cheesy carbs. While California Pizza Kitchen still remains the forgettable dine-in option, it's still a go-to when visiting KOP mall. 

Our waitress may have been super busy or just a new waitress in general. My friends who both ordered the same strawberry lemonade received two different drinks. The waitress who stood above us as my friends spoke aloud that they ordered the same drink but received different drinks quickly walked away. Of course not before spilling part of the drink across the table. WOMP. Rookie mistake. 

On the back side of the menu you'll notice a lunch special available Monday-Friday with deals ranging from $10.99 to $12.99. I opted for the pizza and soup combo. Because carbs on carbs is better than no carbs or carbs and veggies. EWWWW. 

Mushroom Sausage Pepperoni Pizza: At least the dough was good. I'd say there wasn't enough cheese on my pizza but overall it was a solid 3/5. 

Baked Potato Soup: Did not finish. Tasted like flour. The end. 

 California Pizza Kitchen will always have a soft spot in my heart for being one of the few restaurants in the suburbs that didn't make me VOM.",1,1.0,2.5625,0.6640625,5.0,0.010620117,2.40625,1.0,1.9375,0.9921875,4.96875,0.8515625,3.875,0.095214844,2.671875
Hands down the best fries and burger I've ever had from a Steak n Shake. Props to the weekend team.,2,1.0,5.0,2.8954616e-13,4.09375,5.7980287e-12,2.671875,0.002380371,4.8125,2.842171e-13,4.5,0.0859375,3.8125,6.366463e-12,2.890625
